Total Duration of Fixations,Average Duration of Fixations,Maximum duration of fixations,No of fixations,Average pupil diameter,Total Duration of visit,class
933,467,864,2,2.82689,1100,1
3033,3033,3033,1,2.78837,3033,1
1266,422,916,3,2.87316,1932,1
3684,1228,2725,3,2.96831,5217,1
1667,833,1414,2,2.96048,1683,1
2784,928,1421,3,2.73737,3433,0
1866,311,433,6,2.86928,3015,1
3719,531,1116,7,2.93244,5450,1
2351,784,1142,3,2.92226,3183,1
1033,344,516,3,2.92768,1250,0
2400,1200,1444,2,2.92706,2533,1
1133,567,649,2,2.94179,1300,0
850,425,582,2,2.84199,983,1
3984,398,650,10,2.80011,5117,0
1767,196,450,9,2.89944,2850,1
1367,1367,1367,1,2.86114,1367,1
1851,264,849,7,2.75645,3583,1
900,300,716,3,2.81483,1217,1
1567,783,1353,2,2.69419,1600,1
1452,242,683,6,2.86024,2268,0
650,650,650,1,2.99279,650,1
1017,1017,1017,1,2.99454,1017,1
1200,1200,1200,1,3.19875,1200,1
2117,529,1482,4,3.10047,2750,1
900,900,900,1,3.12413,900,1
2917,972,1507,3,2.88567,3383,1
1667,556,1133,3,3.14841,1950,1
850,425,652,2,3.03475,1050,1
867,867,867,1,3.07653,867,1
1250,1250,1250,1,3.05506,1250,1
2300,767,1191,3,3.03793,2767,1
1017,1017,1017,1,3.09747,1017,1
1083,542,768,2,2.97908,1200,0
650,650,650,1,3.07548,650,1
1167,583,675,2,2.99202,1200,1
1434,478,640,3,3.01234,1733,1
1100,1100,1100,1,3.08415,1100,1
7301,608,1516,12,2.80072,8484,1
3100,1550,2753,2,3.05632,3350,1
1067,534,963,2,2.86622,1833,1
851,170,217,5,3.07212,1467,1
1117,279,533,4,2.28615,1183,1
1116,558,981,2,2.18875,1133,1
1333,1333,1333,1,2.35661,1333,1
4533,2267,2952,2,2.31159,4617,1
1483,1483,1483,1,2.35812,1483,1
1600,1600,1600,1,2.23598,1600,1
3100,443,870,7,2.25684,3333,1
1217,406,650,3,2.24153,1250,1
1017,1017,1017,1,2.23029,1017,1
1317,1317,1317,1,2.22106,1317,1
1767,1767,1767,1,2.23167,1767,0
1317,1317,1317,1,2.29231,1317,1
2533,281,550,9,2.16203,2733,1
3717,531,1534,7,2.2087,3900,1
1684,561,1391,3,2.34387,1717,1
883,883,883,1,2.18769,883,1
1700,425,583,4,2.47377,1800,0
424,424,424,1,3.18422,424,1
466,155,250,3,3.38566,783,1
4619,924,2465,5,3.27505,8100,1
394,394,394,1,3.21604,394,1
1632,816,1549,2,3.27376,1915,1
809,405,460,2,3.26531,843,1
638,213,239,3,3.35333,705,1
684,342,620,2,3.37222,1817,1
553,553,553,1,3.30205,553,1
1855,371,868,5,3.25743,3650,1
633,316,450,2,3.40417,683,1
782,391,566,2,3.30481,799,1
409,409,409,1,3.17581,409,1
836,209,316,4,3.35378,1119,1
1489,298,633,5,3.20892,2655,1
1701,567,810,3,3.205,3100,1
597,597,597,1,3.31604,597,1
950,475,477,2,3.15102,1133,1
617,206,283,3,3.32535,651,1
967,483,791,2,3.22933,983,1
959,320,526,3,3.06236,1009,1
1067,533,804,2,3.21788,1083,1
905,302,616,3,3.07587,2100,1
744,744,744,1,3.24425,744,1
1334,334,633,4,3.09987,2334,0
1935,323,533,6,3.0893,2052,1
884,295,450,3,3.05775,2100,1
614,307,550,2,3.07907,614,1
1167,584,651,2,2.99523,1167,0
1118,373,811,3,3.14414,2417,1
765,383,649,2,3.13003,1531,1
668,223,316,3,3.11523,1883,0
1133,378,772,3,3.20168,1167,1
2418,242,533,10,3.19656,2884,1
